timp;v_in;m;omega;ia
0,089521649;24;0;600;9,53741E-14
0,089584942;24;0;600;9,53741E-14
0,089663848;24;0;600;9,47726E-14
0,089742754;24;0;600;9,10878E-14
0,089834754;24;0;600;8,64179E-14
0,089943084;24;0;600;7,67169E-14
0,09;24;0;600;7,49267E-14
0,090114331;24;0;600;7,6603E-14
0,090211775;24;0;600;6,89626E-14
0,09030922;24;0;600;6,29017E-14
0,090413404;24;0;600;6,29017E-14
0,090524263;24;0;600;6,12117E-14
0,090652133;24;0;600;5,57791E-14
0,090723419;24;0;600;5,35369E-14
0,090794705;24;0;600;5,35369E-14
0,090884458;24;0;600;5,35369E-14
0,091;24;0;600;5,35369E-14
0,091097815;24;0;600;5,35369E-14
0,09119563;24;0;600;5,35369E-14
0,091288923;24;0;600;5,35369E-14
0,091385272;24;0;600;5,35369E-14
0,091490268;24;0;600;5,35369E-14
0,091604837;24;0;600;5,35369E-14
0,09170164;24;0;600;5,35369E-14
0,091798443;24;0;600;5,35369E-14
0,091893205;24;0;600;5,35369E-14
0,092;24;0;600;5,35369E-14
0,092104877;24;0;600;5,35369E-14
0,092224178;24;0;600;5,35369E-14
0,092301946;24;0;600;5,35369E-14
0,092379713;24;0;600;5,35369E-14
0,092477039;24;0;600;5,35369E-14
0,092623799;24;0;600;5,457E-14
0,092690383;24;0;600;4,83098E-14
0,092756968;24;0;600;4,67664E-14
0,092843043;24;0;600;4,67664E-14
0,092951423;24;0;600;4,67664E-14
0,093;24;0;600;4,67664E-14
0,093108644;24;0;600;4,67664E-14
0,093207101;24;0;600;4,67664E-14
0,093307593;24;0;600;4,67664E-14
0,093433803;24;0;600;4,67664E-14
0,093506662;24;0;600;4,67664E-14
0,09357952;24;0;600;4,67664E-14
0,093675063;24;0;600;4,67664E-14
0,093800851;24;0;600;4,67664E-14
0,093881999;24;0;600;4,67664E-14
0,093963146;24;0;600;4,67664E-14
0,094;24;0;600;4,67664E-14
0,094118329;24;0;600;4,67664E-14
0,094227104;24;0;600;4,67664E-14
0,094323319;24;0;600;4,67664E-14
0,09448507;24;0;600;4,55335E-14
0,094534585;24;0;600;4,3976E-14
0,0945841;24;0;600;4,19789E-14
0,094646871;24;0;600;4,19789E-14
0,094709641;24;0;600;4,19789E-14
0,094798832;24;0;600;4,19789E-14
0,094877985;24;0;600;4,19789E-14
0,094968578;24;0;600;4,19789E-14
0,095;24;0;600;4,19789E-14
0,095123069;24;0;600;4,19789E-14
0,095241819;24;0;600;4,19789E-14
0,095316501;24;0;600;4,19789E-14
0,095391183;24;0;600;4,19789E-14
0,095485306;24;0;600;4,19789E-14
0,095606356;24;0;600;4,19789E-14
0,095692379;24;0;600;4,19789E-14
0,095778401;24;0;600;4,19789E-14
0,095878212;24;0;600;4,19789E-14
0,096;24;0;600;4,19789E-14
0,096107085;24;0;600;4,19789E-14
0,096202857;24;0;600;4,19789E-14
0,096341089;24;0;600;4,19789E-14
0,096401791;24;0;600;4,19789E-14
0,096462493;24;0;600;4,19789E-14
0,096545852;24;0;600;4,19789E-14
0,096627167;24;0;600;4,19789E-14
0,096717584;24;0;600;4,19789E-14
0,096818203;24;0;600;4,19789E-14
0,096927064;24;0;600;4,19789E-14
0,097;24;0;600;4,19789E-14
0,097087145;24;0;600;4,19789E-14
0,09717429;24;0;600;4,19789E-14
0,09731115;24;0;600;4,19789E-14
0,097449148;24;0;600;4,19789E-14
0,097523933;24;0;600;4,19789E-14
